guideline,c_category,decidability,scope,rationale,applicability_rust_general,applicability_safe_rust,rust_category
D.1.1,Required,n/a,n/a,IDB,Yes,Yes,Required
D.1.2,Advisory,n/a,n/a,IDB,Yes,Yes,Required
D.2.1,Required,n/a,n/a,"UB,CQ,DC",Yes,Yes,Required
D.3.1,Required,n/a,n/a,CQ,Yes,Yes,Required
D.4.1,Required,n/a,n/a,"UB,CQ",Yes,Yes,Required
D.4.2,Advisory,n/a,n/a,"IDB,CQ",Yes,No,Required
D.4.3,Required,n/a,n/a,"DC,CQ",Yes,No,Advisory
D.4.4,Advisory,n/a,n/a,DC,Yes,Yes,Advisory
D.4.5,Advisory,n/a,n/a,DC,Yes,Yes,Advisory
D.4.6,Advisory,n/a,n/a,DC,No,No,n/a
D.4.7,Required,n/a,n/a,DC,Yes,Yes,Advisory
D.4.8,Advisory,n/a,n/a,DC,No,No,n/a
D.4.9,Advisory,n/a,n/a,"DC,CQ",Yes,Yes,Advisory
D.4.10,Required,n/a,n/a,"UB,DC",No,No,n/a
D.4.11,Required,n/a,n/a,"UB,IDB",Yes,Yes,Advisory
D.4.12,Required,n/a,n/a,"UB,CQ",Yes,Yes,Advisory
D.4.13,Advisory,n/a,n/a,"UB,DC",Yes,Yes,Required
D.4.14,Required,n/a,n/a,"UB,CQ",Yes,Yes,Required
D.4.15,Required,n/a,n/a,"UB,IDB,DC",Yes,Yes,Required
D.5.1,Required,n/a,n/a,UB,Yes,Partial,Required
D.5.2,Required,n/a,n/a,UB,Yes,Yes,Required
D.5.3,Required,n/a,n/a,"UB,DC",Yes,Yes,Required
R.1.1,Required,Decidable,STU,"UB,IDB",Yes,Partial,Required
R.1.3,Required,Undecidable,System,"UB,IDB",Yes,Yes,Required
R.1.4,Required,Decidable,STU,"UB,DC",No,No,n/a
R.1.5,Required,Undecidable,System,"UB,IDB,DC",Yes,Yes,Required
R.2.1,Required,Undecidable,System,DC,Yes,Yes,Advisory
R.2.2,Required,Undecidable,System,DC,Yes,Yes,Required
R.2.3,Advisory,Decidable,System,DC,Yes,Yes,Advisory
R.2.4,Advisory,Decidable,System,DC,No,No,n/a
R.2.5,Advisory,Decidable,System,DC,Yes,Yes,Advisory
R.2.6,Advisory,Decidable,STU,DC,Yes,Yes,Advisory
R.2.7,Advisory,Decidable,STU,DC,Yes,Yes,Advisory
R.2.8,Advisory,Decidable,System,DC,Yes,Yes,Advisory
R.3.1,Required,Decidable,STU,DC,Yes,Yes,Advisory
R.3.2,Required,Decidable,STU,DC,No,No,n/a
R.4.1,Required,Decidable,STU,"DC,IDB",No,No,n/a
R.4.2,Advisory,Decidable,STU,DC,No,No,n/a
R.5.1,Required,Decidable,System,"UB,IDB,DC",Yes,Partial,Required
R.5.2,Required,Decidable,STU,"UB,IDB,CQ",Yes,Yes,Required
R.5.3,Required,Decidable,STU,DC,Yes,Yes,Advisory
R.5.4,Required,Decidable,STU,"UB,IDB,DC",No,No,n/a
R.5.5,Required,Decidable,STU,"UB,IDB,DC",Partial,Partial,Advisory
R.5.6,Required,Decidable,System,DC,Yes,Yes,Advisory
R.5.7,Required,Decidable,System,"UB,DC",No,No,n/a
R.5.8,Required,Decidable,System,DC,Yes,Yes,Advisory
R.5.9,Advisory,Decidable,System,DC,Yes,Yes,Advisory
R.5.10,Required,Decidable,STU,"UB,DC",Yes,Partial,Advisory
R.6.1,Required,Decidable,STU,"UB,IDB",No,No,n/a
R.6.2,Required,Decidable,STU,DC,No,No,n/a
R.6.3,Required,Decidable,STU,IDB,No,No,n/a
R.7.1,Required,Decidable,STU,DC,Yes,Yes,Advisory
R.7.2,Required,Decidable,STU,DC,Yes,Yes,Advisory
R.7.3,Required,Decidable,STU,DC,No,No,n/a
R.7.4,Required,Decidable,STU,UB,No,No,n/a
R.7.5,Mandatory,Decidable,STU,UB,No,No,n/a
R.7.6,Required,Decidable,STU,DC,No,No,n/a
R.8.1,Required,Decidable,STU,DC,No,No,n/a
R.8.2,Required,Decidable,STU,"UB,DC",No,No,n/a
R.8.3,Required,Decidable,System,"UB,DC",Yes,No,Required
R.8.4,Required,Decidable,STU,UB,No,No,n/a
R.8.5,Required,Decidable,System,DC,Yes,No,Advisory
R.8.6,Required,Decidable,System,UB,Yes,No,Required
R.8.7,Advisory,Decidable,System,DC,Yes,Yes,Advisory
R.8.8,Required,Decidable,STU,DC,No,No,n/a
R.8.9,Advisory,Decidable,System,DC,Yes,Yes,Advisory
R.8.10,Required,Decidable,STU,"UB,DC",No,No,n/a
R.8.11,Advisory,Decidable,STU,DC,No,No,n/a
R.8.12,Required,Decidable,STU,DC,No,No,n/a
R.8.13,Advisory,Undecidable,System,DC,Yes,Yes,Advisory
R.8.14,Required,Decidable,STU,UB,No,No,n/a
R.8.15,Required,Decidable,System,UB,Yes,No,Required
R.8.16,Advisory,Decidable,STU,DC,No,No,n/a
R.8.17,Advisory,Decidable,STU,DC,Partial,Partial,Advisory
R.8.18,Required,Decidable,STU,"UB,DC",No,No,n/a
R.8.19,Advisory,Decidable,STU,"UB,DC",No,No,n/a
R.9.1,Mandatory,Undecidable,System,UB,Yes,Yes,Required
R.9.2,Required,Decidable,STU,"UB,CQ,DC",No,No,n/a
R.9.3,Required,Decidable,STU,UB,No,No,n/a
R.9.4,Required,Decidable,STU,DC,Yes,Yes,Required
R.9.5,Required,Decidable,STU,"IDB,DC",No,No,n/a
